"","Ecoregion","Metier4","Species","das","animals","rate","CI5","CI95","class"
"263","Azores","LLS","Leucoraja fullonica",74,5,0.067567568,0.027027027,0.121621622,"f"
"264","Greater North Sea","OTB","Leucoraja fullonica",213,5,0.023474178,0.009389671,0.042253521,"f"
"265","Azores","LLS","Lophius piscatorius",74,2,0.027027027,0,0.067567568,"f"
"266","Barents Sea","OTB","Lycodes esmarkii",76,99,1.302631579,1.092105263,1.526315789,"f"
"267","Icelandic Waters","OTB","Lycodes esmarkii",412,630,1.529126214,1.42961165,1.631067961,"f"
"268","Icelandic Waters","GNS","Megaptera novaeangliae",711,2,0.00281294,0,0.007032349,"m"
"269","Greater North Sea","GNS","Melanitta fusca",8169.995292,8,0.000979193,0.000489596,0.001591188,"b"
"270","Baltic Sea","GNS","Melanitta fusca",1116.280952,172,0.154083073,0.135270605,0.173791374,"b"
"271","Greater North Sea","GNS","Melanitta fusca",8169.995292,16,0.001958385,0.001223991,0.002815179,"b"
"272","Baltic Sea","GNS","Melanitta nigra",1116.280952,3,0.002687495,0.000895832,0.005374991,"b"
"273","Bay of Biscay and the Iberian Coast","GTR","Melanitta nigra",1730.006607,3,0.001734097,0.000578032,0.003468195,"b"
"274","Greater North Sea","GNS","Melanitta nigra",8169.995292,3,0.000367197,0.000122399,0.000734395,"b"
"275","Baltic Sea","FPN","Mergus merganser",74,1,0.013513514,0,0.040540541,"b"
"276","Baltic Sea","GNS","Merlangius merlangus",94.05238095,49,0.520986279,0.404030176,0.648574756,"f"
"277","Bay of Biscay and the Iberian Coast","GNS","Mola mola",264,29,0.109848485,0.075757576,0.143939394,"f"
"278","Bay of Biscay and the Iberian Coast","PS","Mola mola",62,61,0.983870968,0.774193548,1.193548387,"f"
"279","Bay of Biscay and the Iberian Coast","PTB","Mola mola",322,119,0.369565217,0.313664596,0.425465839,"f"
"280","Azores","LLS","Molva macrophthalma",74,51,0.689189189,0.540540541,0.851351351,"f"
"281","Bay of Biscay and the Iberian Coast","GNS","Molva macrophthalma",264,158,0.598484848,0.522727273,0.678030303,"f"
"282","Bay of Biscay and the Iberian Coast","OTB","Molva macrophthalma",245,74,0.302040816,0.244897959,0.359183673,"f"
"283","Bay of Biscay and the Iberian Coast","PTB","Molva macrophthalma",322,1087,3.375776398,3.208074534,3.546583851,"f"
"284","Azores","LLS","Mora moro",74,65,0.878378378,0.702702703,1.067567568,"f"
"285","Bay of Biscay and the Iberian Coast","PTB","Mora moro",322,1,0.00310559,0,0.00931677,"f"
"286","Bay of Biscay and the Iberian Coast","GNS","Morus bassanus",2874.68021,23,0.00800089,0.005217972,0.010783808,"b"
"287","Bay of Biscay and the Iberian Coast","GTR","Morus bassanus",1730.006607,11,0.006358357,0.003468195,0.009826552,"b"
"288","Bay of Biscay and the Iberian Coast","LLS","Morus bassanus",363.7029582,15,0.041242447,0.024745468,0.060488922,"b"
"289","Bay of Biscay and the Iberian Coast","LTL","Morus bassanus",117.0398128,11,0.093985113,0.051264607,0.14524972,"b"
"290","Bay of Biscay and the Iberian Coast","OTB","Morus bassanus",1636.720217,22,0.013441515,0.00916467,0.018329339,"b"
"291","Bay of Biscay and the Iberian Coast","PTB","Morus bassanus",682.4220779,11,0.016119056,0.008792213,0.024911269,"b"
"292","Celtic Seas","LLS","Morus bassanus",179.75,14,0.077885953,0.044506259,0.111265647,"b"
"293","Celtic Seas","OTB","Morus bassanus",3841.738826,17,0.00442508,0.002863287,0.006247171,"b"
"294","Celtic Seas","PTM","Morus bassanus",332.5236111,1,0.003007305,0,0.009021916,"b"
"295","Celtic Seas","TBB","Morus bassanus",1091.600309,2,0.001832172,0,0.004580431,"b"
"296","Greater North Sea","LHM","Morus bassanus",67,1,0.014925373,0,0.044776119,"b"
"297","Greater North Sea","LLS","Morus bassanus",170.0333333,5,0.029405999,0.0117624,0.052930798,"b"
"298","Greater North Sea","OTB","Morus bassanus",4194.253795,8,0.001907371,0.000953686,0.003099479,"b"
"299","Greater North Sea","PTB","Morus bassanus",595.8224201,11,0.018461877,0.010070115,0.028531991,"b"
"300","Greater North Sea","TBB","Morus bassanus",1526.499691,9,0.005895841,0.002620374,0.009171309,"b"
"301","Icelandic Waters","GNS","Morus bassanus",711,5,0.007032349,0.00281294,0.012658228,"b"
"302","Icelandic Waters","LLS","Morus bassanus",238,25,0.105042017,0.071428571,0.138655462,"b"
"303","Western Mediterranean Sea","LLD","Morus bassanus",961,5,0.005202914,0.002081165,0.009365245,"b"
"304","Aegean-Levantine Sea","GNS","Mustelus mustelus",194,1,0.005154639,0,0.015463918,"f"
"305","Aegean-Levantine Sea","GTR","Mustelus mustelus",254,14,0.05511811,0.031496063,0.078740157,"f"
"306","Aegean-Levantine Sea","LLS","Mustelus mustelus",163,5,0.030674847,0.012269939,0.055214724,"f"
"307","Aegean-Levantine Sea","OTB","Mustelus mustelus",200,24,0.12,0.08,0.16,"f"
"308","Ionian Sea and the Central","GNS","Mustelus mustelus",60,2,0.033333333,0,0.083333333,"f"
"309","Ionian Sea and the Central","GTR","Mustelus mustelus",167,4,0.023952096,0.005988024,0.047904192,"f"
"310","Aegean-Levantine Sea","OTB","Mustelus punctulatus",200,13,0.065,0.035,0.095,"f"
"311","Bay of Biscay and the Iberian Coast","OTB","Myliobatis aquila",245,2,0.008163265,0,0.020408163,"f"
"312","Bay of Biscay and the Iberian Coast","PTM","Oceanodroma leucorhoa",1080.210108,2,0.001851492,0,0.004628729,"b"
"313","Aegean-Levantine Sea","OTB","Oxynotus centrina",200,5,0.025,0.01,0.045,"f"
"314","Azores","LHM","Pagellus bogaraveo",658,407,0.618541033,0.568389058,0.668693009,"f"
"315","Azores","LLS","Pagellus bogaraveo",74,1978,26.72972973,25.74324324,27.71621622,"f"
"316","Icelandic Waters","GNS","Pagophilus groenlandicus",711,31,0.043600563,0.030942335,0.05625879,"m"
"317","Icelandic Waters","OTB","Pagophilus groenlandicus",1571,1,0.000636537,0,0.001909612,"m"
"318","Celtic Seas","OTM","Petromyzon marinus",59,1,0.016949153,0,0.050847458,"f"
"319","Icelandic Waters","OTB","Petromyzon marinus",412,1,0.002427184,0,0.007281553,"f"
"320","Greater North Sea","GND","Phalacrocoracidae",66.37301587,1,0.015066364,0,0.045199091,"b"
"321","Greater North Sea","GNS","Phalacrocoracidae",8169.995292,1,0.000122399,0,0.000367197,"b"
"322","Icelandic Waters","GNS","Phalacrocoracidae",711,53,0.074542897,0.05766526,0.091420534,"b"
"323","Baltic Sea","FPN","Phalacrocorax",74,1,0.013513514,0,0.040540541,"b"
"324","Adriatic Sea","GTR","Phalacrocorax aristotelis",148,1,0.006756757,0,0.02027027,"b"
"325","Adriatic Sea","OTB","Phalacrocorax aristotelis",464,3,0.006465517,0.002155172,0.012931034,"b"
"326","Bay of Biscay and the Iberian Coast","GNS","Phalacrocorax aristotelis",2874.68021,3,0.001043594,0.000347865,0.002087189,"b"
"327","Greater North Sea","GNS","Phalacrocorax aristotelis",8169.995292,2,0.000244798,0,0.000611995,"b"
"328","Greater North Sea","GTR","Phalacrocorax aristotelis",640.6128671,1,0.001561005,0,0.004683016,"b"
"329","Greater North Sea","LLS","Phalacrocorax aristotelis",170.0333333,1,0.0058812,0,0.017643599,"b"
"330","Icelandic Waters","GNS","Phalacrocorax aristotelis",711,2,0.00281294,0,0.007032349,"b"
"331","Baltic Sea","FPN","Phalacrocorax carbo",74,4,0.054054054,0.013513514,0.108108108,"b"
"332","Baltic Sea","GNS","Phalacrocorax carbo",1116.280952,50,0.044791591,0.034937441,0.055541573,"b"
"333","Baltic Sea","GTR","Phalacrocorax carbo",105.0190476,22,0.209485808,0.142831232,0.285662465,"b"
"334","Bay of Biscay and the Iberian Coast","GNS","Phalacrocorax carbo",2874.68021,3,0.001043594,0.000347865,0.002087189,"b"
"335","Bay of Biscay and the Iberian Coast","GTR","Phalacrocorax carbo",1730.006607,4,0.00231213,0.000578032,0.00462426,"b"
"336","Celtic Seas","GNS","Phalacrocorax carbo",1284.660272,3,0.002335248,0.000778416,0.004670495,"b"
"337","Greater North Sea","GNS","Phalacrocorax carbo",8169.995292,9,0.001101592,0.000489596,0.001713587,"b"
"338","Greater North Sea","GTR","Phalacrocorax carbo",640.6128671,2,0.00312201,0,0.007805026,"b"
"339","Icelandic Waters","GNS","Phalacrocorax carbo",711,2,0.00281294,0,0.007032349,"b"
"340","Icelandic Waters","GNS","Phoca hispida",711,2,0.00281294,0,0.007032349,"m"
"341","Baltic Sea","GNS","Phoca vitulina",1116.280952,17,0.015229141,0.00985415,0.021499964,"m"
"342","Baltic Sea","GTR","Phoca vitulina",105.0190476,1,0.009522082,0,0.028566246,"m"
"343","Barents Sea","GNS","Phoca vitulina",675.6,7,0.01036116,0.004440497,0.017761989,"m"
"344","Celtic Seas","GNS","Phoca vitulina",1284.660272,47,0.036585548,0.028022973,0.045926539,"m"
"345","Celtic Seas","OTB","Phoca vitulina",3841.738826,1,0.000260299,0,0.000780896,"m"
"346","Greater North Sea","GNS","Phoca vitulina",8169.995292,89,0.010893519,0.009057533,0.012851905,"m"
"347","Greater North Sea","GTR","Phoca vitulina",640.6128671,1,0.001561005,0,0.004683016,"m"
"348","Greater North Sea","OTM","Phoca vitulina",693.9678408,1,0.001440989,0,0.004322967,"m"
"349","Icelandic Waters","GNS","Phoca vitulina",711,115,0.161744023,0.137834037,0.187060478,"m"
"350","Norwegian Sea","GNS","Phoca vitulina",20556.3,195,0.009486143,0.008367265,0.010605021,"m"
"351","Celtic Seas","GNS","Phocidae",1284.660272,2,0.001556832,0,0.00389208,"m"
"352","Celtic Seas","OTT","Phocidae",1990.316926,1,0.000502433,0,0.001507298,"m"
"353","Celtic Seas","TBB","Phocidae",1091.600309,1,0.000916086,0,0.002748259,"m"
"354","Greater North Sea","OTB","Phocidae",4194.253795,1,0.000238421,0,0.000715264,"m"
"355","Baltic Sea","GNS","Phocoena phocoena",1116.280952,30,0.026874955,0.018812468,0.034937441,"m"
"356","Baltic Sea","GTR","Phocoena phocoena",105.0190476,1,0.009522082,0,0.028566246,"m"
"357","Barents Sea","GNS","Phocoena phocoena",675.6,5,0.007400829,0.002960332,0.013321492,"m"
"358","Bay of Biscay and the Iberian Coast","GNS","Phocoena phocoena",2874.68021,1,0.000347865,0,0.001043594,"m"
"359","Bay of Biscay and the Iberian Coast","GTR","Phocoena phocoena",1730.006607,11,0.006358357,0.003468195,0.009826552,"m"
"360","Bay of Biscay and the Iberian Coast","OTB","Phocoena phocoena",1636.720217,1,0.000610978,0,0.001832934,"m"
"361","Bay of Biscay and the Iberian Coast","PTM","Phocoena phocoena",1080.210108,1,0.000925746,0,0.002777237,"m"
"362","Celtic Seas","GNS","Phocoena phocoena",1284.660272,7,0.005448911,0.002335248,0.009340991,"m"
"363","Celtic Seas","OTB","Phocoena phocoena",3841.738826,2,0.000520598,0,0.001301494,"m"
"364","Celtic Seas","OTT","Phocoena phocoena",1990.316926,2,0.001004865,0,0.002512163,"m"
"365","Greater North Sea","GNS","Phocoena phocoena",8169.995292,416,0.050918022,0.046878852,0.055079591,"m"
"366","Greater North Sea","GTR","Phocoena phocoena",640.6128671,11,0.017171057,0.009366031,0.026537088,"m"
"367","Greater North Sea","OTB","Phocoena phocoena",4194.253795,1,0.000238421,0,0.000715264,"m"
"368","Greater North Sea","SDN","Phocoena phocoena",106.6625647,1,0.009375361,0,0.028126082,"m"
"369","Icelandic Waters","GNS","Phocoena phocoena",711,170,0.239099859,0.209563994,0.270042194,"m"
"370","Norwegian Sea","GNS","Phocoena phocoena",20556.3,985,0.047917184,0.045436192,0.050446822,"m"
"371","Greater North Sea","GNS","Pinnipedia",8169.995292,4,0.000489596,0.000122399,0.000979193,"m"
"372","Baltic Sea","GNS","Podiceps cristatus",1116.280952,1,0.000895832,0,0.002687495,"b"
"373","Baltic Sea","GNS","Podiceps grisegena",1116.280952,1,0.000895832,0,0.002687495,"b"
"374","Icelandic Waters","GNS","Pollachius pollachius",134,12,0.089552239,0.052238806,0.134328358,"f"
"375","Bay of Biscay and the Iberian Coast","OTB","Polyprion americanus",245,2,0.008163265,0,0.020408163,"f"
"376","Azores","LHM","Pomatomus saltatrix",658,2,0.003039514,0,0.007598784,"f"
"377","Bay of Biscay and the Iberian Coast","OTB","Pomatomus saltatrix",245,537,2.191836735,2.036734694,2.346938776,"f"
"378","Bay of Biscay and the Iberian Coast","PS","Pomatomus saltatrix",62,206,3.322580645,2.951612903,3.709677419,"f"
"379","Greater North Sea","OTB","Pomatoschistus minutus",164,2,0.012195122,0,0.030487805,"f"
"380","Azores","LHM","Puffinus gravis",2868,2,0.00069735,0,0.001743375,"b"
"381","Celtic Seas","LLS","Puffinus gravis",179.75,2,0.011126565,0,0.027816412,"b"
"382","Bay of Biscay and the Iberian Coast","GNS","Puffinus mauretanicus",2874.68021,4,0.001391459,0.000347865,0.002782918,"b"
"383","Bay of Biscay and the Iberian Coast","GTR","Puffinus mauretanicus",1730.006607,5,0.002890162,0.001156065,0.005202292,"b"
"384","Bay of Biscay and the Iberian Coast","LLS","Puffinus mauretanicus",363.7029582,1,0.002749496,0,0.008248489,"b"
"385","Bay of Biscay and the Iberian Coast","OTB","Puffinus mauretanicus",1636.720217,2,0.001221956,0,0.00305489,"b"
"386","Western Mediterranean Sea","LLD","Puffinus mauretanicus",961,27,0.028095734,0.019771072,0.037460978,"b"
"387","Western Mediterranean Sea","LLD","Puffinus mauretanicus",1149,6,0.005221932,0.001740644,0.00870322,"b"
"388","Western Mediterranean Sea","LLD","Puffinus yelkouan",961,5,0.005202914,0.002081165,0.009365245,"b"
"389","Baltic Sea","FPO","Pusa hispida",99,2,0.02020202,0,0.050505051,"m"
"390","Icelandic Waters","GNS","Pusa hispida",711,2,0.00281294,0,0.007032349,"m"
"391","Greater North Sea","TBB","Raja microocellata",94.71,9,0.095026924,0.042234189,0.14781966,"f"
"392","Greater North Sea","TBB","Raja undulata",94.71,48,0.506810263,0.390666244,0.633512829,"f"
"393","Icelandic Waters","OTB","Rajella bathyphila",412,2,0.004854369,0,0.012135922,"f"
"394","Icelandic Waters","OTB","Rajella fyllae",412,120,0.291262136,0.247572816,0.334951456,"f"
"395","Greater North Sea","OTB","Rajella lintea",213,1,0.004694836,0,0.014084507,"f"
"396","Icelandic Waters","OTB","Rajella lintea",412,9,0.02184466,0.009708738,0.033980583,"f"
"397","Icelandic Waters","OTB","Rhinochimaera atlantica",412,31,0.075242718,0.053398058,0.097087379,"f"
"398","Western Mediterranean Sea","LLD","Rissa tridactyla",961,1,0.001040583,0,0.003121748,"b"
"399","Aegean-Levantine Sea","GNS","Sciaena umbra",194,5,0.025773196,0.010309278,0.046391753,"f"
"400","Aegean-Levantine Sea","GTR","Sciaena umbra",254,30,0.118110236,0.082677165,0.153543307,"f"
"401","Aegean-Levantine Sea","LLS","Sciaena umbra",163,13,0.079754601,0.042944785,0.116564417,"f"
"402","Bay of Biscay and the Iberian Coast","OTB","Sciaena umbra",245,101,0.412244898,0.346938776,0.481632653,"f"
"403","Ionian Sea and the Central","GTR","Sciaena umbra",167,179,1.071856287,0.94011976,1.203592814,"f"
"404","Bay of Biscay and the Iberian Coast","OTB","Scophthalmus maximus",245,448,1.828571429,1.685714286,1.971428571,"f"
"405","Celtic Seas","GNS","Scophthalmus maximus",266,104,0.390977444,0.330827068,0.454887218,"f"
"406","Celtic Seas","OTB","Scophthalmus maximus",87,98,1.126436782,0.942528736,1.32183908,"f"
"407","Celtic Seas","TBB","Scophthalmus maximus",197.54,61,0.308798218,0.242988762,0.374607674,"f"
"408","Greater North Sea","OTB","Scophthalmus maximus",164,58,0.353658537,0.280487805,0.432926829,"f"
"409","Greater North Sea","OTT","Scophthalmus maximus",96,3,0.03125,0.010416667,0.0625,"f"
"410","Greater North Sea","TBB","Scophthalmus maximus",214.71,152,0.707931629,0.61478273,0.805737972,"f"
"411","Bay of Biscay and the Iberian Coast","OTB","Scophthalmus rhombus",245,3,0.012244898,0.004081633,0.024489796,"f"
"412","Celtic Seas","OTB","Scophthalmus rhombus",87,2,0.022988506,0,0.057471264,"f"
"413","Celtic Seas","TBB","Scophthalmus rhombus",228.54,62,0.271287302,0.214404481,0.328170123,"f"
"414","Greater North Sea","OTB","Scophthalmus rhombus",164,80,0.487804878,0.402439024,0.579268293,"f"
"415","Greater North Sea","OTT","Scophthalmus rhombus",96,12,0.125,0.072916667,0.1875,"f"
"416","Greater North Sea","TBB","Scophthalmus rhombus",214.71,227,1.057239998,0.94546132,1.173676121,"f"
"417","Azores","LHM","Scorpaena scrofa",658,13,0.019756839,0.010638298,0.02887538,"f"
"418","Bay of Biscay and the Iberian Coast","GNS","Scorpaena scrofa",264,33,0.125,0.090909091,0.162878788,"f"
"419","Bay of Biscay and the Iberian Coast","OTB","Scorpaena scrofa",245,40,0.163265306,0.12244898,0.208163265,"f"
"420","Greater North Sea","TBB","Scyliorhinus stellaris",94.71,0,0,0,0,"f"
"421","Bay of Biscay and the Iberian Coast","GNS","Scymnodon ringens",264,21,0.079545455,0.053030303,0.109848485,"f"
"422","Bay of Biscay and the Iberian Coast","PTB","Scymnodon ringens",322,27,0.083850932,0.059006211,0.111801242,"f"
"423","Greater North Sea","OTB","Sebastes norvegicus",213,3,0.014084507,0.004694836,0.028169014,"f"
"424","Greater North Sea","OTB","Sebastes viviparus",377,10,0.026525199,0.013262599,0.039787798,"f"
"425","Greater North Sea","OTT","Sebastes viviparus",96,2,0.020833333,0,0.052083333,"f"
"426","Baltic Sea","GNS","Somateria mollissima",1116.280952,93,0.083312359,0.06897905,0.097645669,"b"
"427","Baltic Sea","GTR","Somateria mollissima",105.0190476,1,0.009522082,0,0.028566246,"b"
"428","Greater North Sea","GNS","Somateria mollissima",8169.995292,9,0.001101592,0.000489596,0.001713587,"b"
"429","Icelandic Waters","GNS","Somateria mollissima",711,302,0.424753868,0.385372714,0.465541491,"b"
"430","Icelandic Waters","OTB","Somniosus microcephalus",412,2,0.004854369,0,0.012135922,"f"
"431","Bay of Biscay and the Iberian Coast","GNS","Sparus aurata",264,2,0.007575758,0,0.018939394,"f"
"432","Bay of Biscay and the Iberian Coast","OTB","Sparus aurata",245,1,0.004081633,0,0.012244898,"f"
"433","Bay of Biscay and the Iberian Coast","PS","Sparus aurata",62,1,0.016129032,0,0.048387097,"f"
"434","Azores","LHM","Sphyrna zygaena",658,1,0.001519757,0,0.004559271,"f"
"435","Aegean-Levantine Sea","OTB","Squalus acanthias",200,51,0.255,0.2,0.315,"f"
"436","Ionian Sea and the Central","LLS","Squalus acanthias",59,8,0.13559322,0.06779661,0.220338983,"f"
"437","Western Mediterranean Sea","LLD","Stenella coeruleoalba",961,1,0.001040583,0,0.003121748,"m"
"438","Western Mediterranean Sea","OTB","Stenella coeruleoalba",2841.916667,1,0.000351875,0,0.001055626,"m"
"439","Greater North Sea","LLS","Stercorarius skua",170.0333333,1,0.0058812,0,0.017643599,"b"
"440","Bay of Biscay and the Iberian Coast","OTB","Synaphobranchus kaupii",245,6,0.024489796,0.008163265,0.040816327,"f"
"441","Bay of Biscay and the Iberian Coast","GNS","Torpedo marmorata",264,9,0.034090909,0.015151515,0.053030303,"f"
"442","Bay of Biscay and the Iberian Coast","OTB","Torpedo marmorata",245,519,2.118367347,1.967346939,2.273469388,"f"
"443","Bay of Biscay and the Iberian Coast","PS","Torpedo marmorata",62,10,0.161290323,0.080645161,0.241935484,"f"
"444","Celtic Seas","OTB","Torpedo marmorata",87,177,2.034482759,1.781609195,2.287356322,"f"
"445","Adriatic Sea","PTM","Tursiops truncatus",988,6,0.006072874,0.002024291,0.010121457,"m"
"446","Bay of Biscay and the Iberian Coast","GNS","Tursiops truncatus",2874.68021,2,0.00069573,0,0.001739324,"m"
"447","Bay of Biscay and the Iberian Coast","PTB","Tursiops truncatus",682.4220779,4,0.005861475,0.001465369,0.01172295,"m"
"448","Western Mediterranean Sea","OTB","Tursiops truncatus",2841.916667,1,0.000351875,0,0.001055626,"m"
"449","Western Mediterranean Sea","OTT","Tursiops truncatus",455,1,0.002197802,0,0.006593407,"m"
"450","Aegean-Levantine Sea","GNS","Umbrina cirrosa",194,16,0.082474227,0.051546392,0.118556701,"f"
"451","Aegean-Levantine Sea","GTR","Umbrina cirrosa",254,10,0.039370079,0.019685039,0.059055118,"f"
"452","Baltic Sea","GNS","Uria aalge",1116.280952,97,0.086895687,0.072562378,0.101228996,"b"
"453","Baltic Sea","GTR","Uria aalge",105.0190476,1,0.009522082,0,0.028566246,"b"
"454","Baltic Sea","LLD","Uria aalge",73,5,0.068493151,0.02739726,0.123287671,"b"
"455","Bay of Biscay and the Iberian Coast","GNS","Uria aalge",2874.68021,200,0.069572956,0.061572066,0.077921711,"b"
"456","Bay of Biscay and the Iberian Coast","GTR","Uria aalge",1730.006607,572,0.330634575,0.308091309,0.353755874,"b"
"457","Celtic Seas","GNS","Uria aalge",1284.660272,38,0.029579805,0.021795646,0.037363964,"b"
"458","Greater North Sea","GNS","Uria aalge",8169.995292,330,0.0403917,0.036719727,0.044063673,"b"
"459","Greater North Sea","GTR","Uria aalge",640.6128671,15,0.023415078,0.014049047,0.034342114,"b"
"460","Greater North Sea","LLS","Uria aalge",170.0333333,1,0.0058812,0,0.017643599,"b"
"461","Icelandic Waters","GNS","Uria aalge",711,568,0.798874824,0.744022504,0.853727145,"b"
"462","Icelandic Waters","OTM","Uria aalge",197,2,0.010152284,0,0.025380711,"b"
"463","Icelandic Waters","GNS","Uria lomvia",711,5,0.007032349,0.00281294,0.012658228,"b"
"464","Aegean-Levantine Sea","LLS","Xiphias gladius",163,1,0.006134969,0,0.018404908,"f"
"465","Azores","LLS","Zeus faber",74,4,0.054054054,0.013513514,0.108108108,"f"
"466","Bay of Biscay and the Iberian Coast","GNS","Zeus faber",264,20,0.075757576,0.049242424,0.106060606,"f"
"467","Bay of Biscay and the Iberian Coast","OTB","Zeus faber",245,4349,17.75102041,17.31020408,18.19591837,"f"
"468","Bay of Biscay and the Iberian Coast","PTB","Zeus faber",322,497,1.543478261,1.431677019,1.658385093,"f"
"469","Celtic Seas","OTB","Zeus faber",383,1384,3.613577023,3.454308094,3.772845953,"f"
"470","Celtic Seas","OTM","Zeus faber",59,23,0.389830508,0.254237288,0.525423729,"f"
"471","Celtic Seas","SSC","Zeus faber",52,25,0.480769231,0.326923077,0.634615385,"f"
"472","Celtic Seas","TBB","Zeus faber",228.54,59,0.258160497,0.205653277,0.315043318,"f"
"473","Greater North Sea","OTB","Zeus faber",377,576,1.527851459,1.424403183,1.633952255,"f"
"474","Greater North Sea","OTM","Zeus faber",58,16,0.275862069,0.172413793,0.396551724,"f"
"475","Greater North Sea","OTT","Zeus faber",96,78,0.8125,0.666666667,0.96875,"f"
"476","Greater North Sea","TBB","Zeus faber",237.71,117,0.492196374,0.420680661,0.567918893,"f"
"477","Greater North Sea","OTT","Zoarces viviparus",96,1,0.010416667,0,0.03125,"f"
